sportsbook,sport,game_id,team,odds_decimal,commence_time,status,scrape_time
fanduel,nba,76ers__knicks,knicks,1.21,2026-05-06T23:10:00Z,upcoming,2026-05-06T21:09:14Z
fanduel,nba,76ers__knicks,76ers,4.7,2026-05-06T23:10:00Z,upcoming,2026-05-06T21:09:14Z
bovada,nba,76ers__knicks,knicks,1.22,2026-05-06T23:10:00Z,upcoming,2026-05-06T21:08:51Z
bovada,nba,76ers__knicks,76ers,4.4,2026-05-06T23:10:00Z,upcoming,2026-05-06T21:08:51Z
betrivers,nba,76ers__knicks,knicks,1.21,2026-05-06T23:10:00Z,upcoming,2026-05-06T21:09:34Z
betrivers,nba,76ers__knicks,76ers,4.5,2026-05-06T23:10:00Z,upcoming,2026-05-06T21:09:34Z
fanduel,nba,spurs__timberwolves,spurs,4.2,2026-05-07T01:40:00Z,upcoming,2026-05-06T21:09:14Z
fanduel,nba,spurs__timberwolves,timberwolves,1.25,2026-05-07T01:40:00Z,upcoming,2026-05-06T21:09:14Z
betrivers,nba,spurs__timberwolves,spurs,4.35,2026-05-07T01:40:00Z,upcoming,2026-05-06T21:09:34Z
betrivers,nba,spurs__timberwolves,timberwolves,1.22,2026-05-07T01:40:00Z,upcoming,2026-05-06T21:09:34Z
bovada,nba,spurs__timberwolves,spurs,4.2,2026-05-07T01:40:00Z,upcoming,2026-05-06T21:08:51Z
bovada,nba,spurs__timberwolves,timberwolves,1.23,2026-05-07T01:40:00Z,upcoming,2026-05-06T21:08:51Z
fanduel,nba,cavaliers__pistons,pistons,2.32,2026-05-07T23:10:00Z,upcoming,2026-05-06T21:09:14Z
fanduel,nba,cavaliers__pistons,cavaliers,1.64,2026-05-07T23:10:00Z,upcoming,2026-05-06T21:09:14Z
betrivers,nba,cavaliers__pistons,pistons,2.25,2026-05-07T23:10:00Z,upcoming,2026-05-06T21:09:34Z
betrivers,nba,cavaliers__pistons,cavaliers,1.65,2026-05-07T23:10:00Z,upcoming,2026-05-06T21:09:34Z
bovada,nba,cavaliers__pistons,pistons,2.35,2026-05-07T23:10:00Z,upcoming,2026-05-06T21:08:51Z
bovada,nba,cavaliers__pistons,cavaliers,1.62,2026-05-07T23:10:00Z,upcoming,2026-05-06T21:08:51Z
fanduel,nba,lakers__thunder,thunder,7.1,2026-05-08T01:40:00Z,upcoming,2026-05-06T21:09:14Z
fanduel,nba,lakers__thunder,lakers,1.11,2026-05-08T01:40:00Z,upcoming,2026-05-06T21:09:14Z
betrivers,nba,lakers__thunder,thunder,8.0,2026-05-08T01:40:00Z,upcoming,2026-05-06T21:09:34Z
betrivers,nba,lakers__thunder,lakers,1.08,2026-05-08T01:40:00Z,upcoming,2026-05-06T21:09:34Z
bovada,nba,lakers__thunder,thunder,7.0,2026-05-08T01:40:00Z,upcoming,2026-05-06T21:08:51Z
bovada,nba,lakers__thunder,lakers,1.11,2026-05-08T01:40:00Z,upcoming,2026-05-06T21:08:51Z
